date,open,high,close,low,volume,amount
2016-02-19,14.88,15.21,15.1,14.85,88633419.0,1332252008.0
2016-02-18,15.16,15.52,14.95,14.92,155280378.0,2364322278.0
2016-02-17,14.7,15.06,15.01,14.66,133990235.0,1993268024.0
2016-02-16,14.16,14.95,14.83,14.16,166429378.0,2437181662.0
2016-02-15,13.79,14.08,13.98,13.71,77399175.0,1074729558.0
2016-02-05,14.31,14.5,14.18,14.14,116807087.0,1667396613.0
2016-02-04,14.6,14.88,14.63,14.49,117784254.0,1728773654.0
2016-02-03,14.42,14.56,14.47,14.17,85591743.0,1228141847.0
2016-02-02,14.21,14.76,14.6,14.09,124180946.0,1807184583.0
2016-02-01,14.35,14.5,14.23,14.01,116788874.0,1661278510.0
2016-01-29,13.79,14.68,14.5,13.62,211749347.0,3031444646.0
2016-01-28,13.8,14.28,13.7,13.6,136138013.0,1897576271.0
2016-01-27,14.06,14.15,13.94,13.45,203238437.0,2821227025.0
2016-01-26,15.1,15.25,13.93,13.82,206243525.0,2988330220.0
2016-01-25,15.34,15.55,15.35,15.17,90966500.0,1396119209.0
2016-01-22,15.34,15.47,15.28,14.83,122505828.0,1862098237.0
2016-01-21,15.75,16.11,15.1,15.01,154504570.0,2424457706.0
2016-01-20,16.1,16.25,15.82,15.7,163036330.0,2608427607.0
2016-01-19,15.67,16.29,16.12,15.51,209017982.0,3340469944.0
2016-01-18,15.15,15.95,15.65,15.15,143000188.0,2234447135.0
2016-01-15,16.08,16.2,15.55,15.29,216224871.0,3402623307.0
2016-01-14,15.5,16.37,16.29,15.28,206097650.0,3292342153.0
2016-01-13,16.06,16.3,15.89,15.75,239172346.0,3840838004.0
2016-01-12,15.92,16.34,15.89,15.7,188831957.0,3028557874.0
2016-01-11,16.3,16.48,15.68,15.51,243462006.0,3924222659.0
2016-01-08,16.84,17.44,16.83,16.0,297925328.0,5033516732.0
2016-01-07,17.48,17.6,16.34,16.2,67903733.0,1145357904.0
2016-01-06,17.55,18.15,17.93,17.2,197278338.0,3489306223.0
2016-01-05,16.8,17.98,17.65,16.63,233329155.0,4072751950.0
2016-01-04,19.29,19.29,17.45,17.42,196058373.0,3592571285.0
2015-12-31,19.6,19.83,19.35,19.3,122805800.0,2407355484.0
2015-12-30,19.71,19.84,19.7,19.3,181951318.0,3556376391.0
2015-12-29,19.44,19.85,19.81,19.38,184380718.0,3617254426.0
2015-12-28,20.98,21.05,19.56,19.5,405044396.0,8159039040.0
2015-12-25,20.7,21.05,20.79,20.41,274811764.0,5682051100.0
2015-12-24,20.98,21.43,20.63,20.22,481492896.0,10013185024.0
2015-12-23,20.0,21.92,21.15,19.95,706637952.0,15021911040.0
2015-12-22,19.6,20.23,19.93,19.44,264728583.0,5265257570.0
2015-12-21,18.8,20.24,19.63,18.73,333821120.0,6562452992.0
2015-12-18,19.0,19.18,18.86,18.77,140604784.0,2660594432.0
2015-12-17,18.87,19.31,19.06,18.65,227145600.0,4313997312.0
2015-12-16,18.82,19.1,18.62,18.59,145847616.0,2740663040.0
2015-12-15,19.17,19.27,18.72,18.52,233980352.0,4408501248.0
2015-12-14,17.58,19.54,19.45,17.51,320100544.0,5974162944.0
2015-12-11,17.6,18.21,17.85,17.4,139823600.0,2480638720.0
2015-12-10,17.95,18.64,17.82,17.75,169960688.0,3096320000.0
2015-12-09,17.58,18.05,17.79,17.52,100356606.0,1785399673.0
2015-12-08,17.81,18.11,17.64,17.63,115159096.0,2051860992.0
2015-12-07,18.01,18.11,17.9,17.75,132752499.0,2374961916.0
2015-12-04,18.52,18.62,18.24,18.16,150895840.0,2770569472.0
2015-12-03,18.7,19.14,18.74,18.47,221710872.0,4165653546.0
2015-12-02,17.74,19.15,18.82,17.65,291417536.0,5355322880.0
2015-12-01,17.63,18.1,17.79,17.4,160317328.0,2846525012.0
2015-11-30,17.79,17.99,17.63,17.0,273171232.0,4793467392.0
2015-11-27,19.11,19.28,17.9,17.9,483975040.0,8947270656.0
2015-11-26,20.3,20.6,19.89,19.85,204784544.0,4130102016.0
2015-11-25,19.79,20.3,20.09,19.7,205187056.0,4094024448.0
2015-11-24,19.9,20.64,20.29,19.7,198249472.0,3989681408.0
2015-11-23,20.53,21.1,20.1,19.98,225470992.0,4616712192.0
2015-11-20,21.0,21.0,20.53,20.28,257267328.0,5297143296.0
2015-11-19,20.5,21.18,21.07,19.98,334563008.0,6856697856.0
2015-11-18,20.5,22.14,20.78,20.27,707987776.0,14964502528.0
2015-11-17,20.15,21.29,20.2,20.08,540908864.0,11184204800.0
2015-11-16,19.72,20.01,19.9,19.42,292725760.0,5766523904.0
2015-11-13,19.8,20.62,20.26,19.71,384486976.0,7804344320.0
2015-11-12,20.8,20.91,20.16,20.08,373372384.0,7617443840.0
2015-11-11,20.4,21.33,20.86,20.04,496213056.0,10183623680.0
2015-11-10,20.05,21.79,20.68,20.04,674908352.0,14061805568.0
2015-11-09,21.0,21.58,20.39,20.2,845193280.0,17665970176.0
2015-11-06,18.48,20.5,20.5,18.27,864242560.0,16958693376.0
2015-11-05,17.69,19.09,18.64,17.45,992481600.0,18436327424.0
2015-11-04,15.85,17.35,17.35,15.76,521876256.0,8713982976.0
2015-11-03,15.7,15.92,15.77,15.53,166954608.0,2628258048.0
2015-11-02,15.55,15.96,15.54,15.48,200774576.0,3148506624.0
2015-10-30,15.35,16.28,15.87,15.13,368307808.0,5843530240.0
2015-10-29,15.4,15.47,15.29,15.19,124138440.0,1904824192.0
2015-10-28,15.62,15.69,15.25,15.19,154733504.0,2391913728.0
2015-10-27,15.7,15.84,15.74,15.12,191073744.0,2951896320.0
2015-10-26,15.98,16.44,15.85,15.73,345830048.0,5559018496.0
2015-10-23,15.5,15.82,15.7,15.21,209349568.0,3253861376.0
2015-10-22,14.99,15.4,15.35,14.81,192455904.0,2910366976.0
2015-10-21,16.0,16.06,14.95,14.78,300773920.0,4674699264.0
2015-10-20,16.01,16.13,16.02,15.6,250514096.0,3975343616.0
2015-10-19,15.9,16.68,16.13,15.76,336657312.0,5460329984.0
2015-10-16,15.87,16.3,15.89,15.53,326651072.0,5191987200.0
2015-10-15,15.23,15.75,15.72,15.19,246834240.0,3825626880.0
2015-10-14,15.2,15.83,15.26,15.14,272964288.0,4213010432.0
2015-10-13,15.1,15.33,15.26,15.06,165399328.0,2514093568.0
2015-10-12,14.55,15.66,15.35,14.37,342112896.0,5183017472.0
2015-10-09,14.26,14.63,14.49,14.17,204014912.0,2950626816.0
2015-10-08,14.65,14.69,14.26,14.2,252417664.0,3647069696.0
2015-09-30,13.32,13.99,13.58,13.29,174483856.0,2390948352.0
2015-09-29,13.21,13.69,13.34,13.01,128134608.0,1704096000.0
2015-09-28,13.27,13.48,13.46,13.13,76369336.0,1018343488.0
2015-09-25,13.7,13.84,13.3,13.26,118116448.0,1593240448.0
