,date,open,high,close,low,volume,amount,ema12,ema26,diff,dea,bar
3100,2003-01-06,1.1,1.11,1.0,0.99,194288556.0,998892578.0,0.0,0.0,0.0,0.0,0.0
3099,2003-01-07,0.99,1.01,0.97,0.96,58977717.0,290622430.0,0.149,0.072,0.077,0.015,0.124
3098,2003-01-08,0.96,1.06,1.06,0.96,72064078.0,368411113.0,0.289,0.145,0.144,0.041,0.206
3097,2003-01-09,1.12,1.17,1.17,1.12,110086868.0,636358017.0,0.424,0.221,0.203,0.073,0.26
3096,2003-01-10,1.23,1.29,1.24,1.22,206393422.0,1300495478.0,0.55,0.296,0.254,0.109,0.29
3095,2003-01-13,1.25,1.29,1.25,1.21,109178302.0,685740331.0,0.658,0.367,0.291,0.145,0.292
3094,2003-01-14,1.25,1.37,1.3,1.23,149481283.0,977541645.0,0.757,0.436,0.321,0.18,0.282
3093,2003-01-15,1.29,1.37,1.36,1.28,138174975.0,919559390.0,0.85,0.504,0.346,0.213,0.266
3092,2003-01-16,1.36,1.39,1.36,1.32,65483154.0,444285059.0,0.928,0.567,0.361,0.243,0.236
3091,2003-01-17,1.36,1.36,1.3,1.3,65358762.0,434861787.0,0.985,0.621,0.364,0.267,0.194
3090,2003-01-20,1.29,1.39,1.36,1.28,69181845.0,468747498.0,1.043,0.676,0.367,0.287,0.16
3089,2003-01-21,1.37,1.37,1.31,1.3,42863113.0,284742620.0,1.084,0.723,0.361,0.302,0.118
3088,2003-01-22,1.31,1.32,1.29,1.28,32035252.0,209619836.0,1.116,0.765,0.351,0.312,0.078
3087,2003-01-23,1.29,1.34,1.29,1.29,31538563.0,207919167.0,1.143,0.804,0.339,0.317,0.044
3086,2003-01-24,1.29,1.42,1.39,1.29,92707075.0,637719038.0,1.181,0.847,0.334,0.32,0.028
3085,2003-01-27,1.38,1.4,1.39,1.36,39473854.0,274235051.0,1.213,0.887,0.326,0.321,0.01
3084,2003-01-28,1.39,1.41,1.4,1.37,25966421.0,181092742.0,1.242,0.925,0.317,0.32,-0.006
3083,2003-01-29,1.4,1.41,1.38,1.37,29621035.0,207060762.0,1.263,0.959,0.304,0.317,-0.026
3082,2003-02-10,1.37,1.37,1.35,1.34,21876077.0,148955171.0,1.276,0.988,0.288,0.311,-0.046
3081,2003-02-11,1.34,1.36,1.36,1.34,10495713.0,71109711.0,1.289,1.015,0.274,0.304,-0.06
3080,2003-02-12,1.35,1.39,1.39,1.34,20137979.0,138916470.0,1.304,1.043,0.261,0.295,-0.068
3079,2003-02-13,1.39,1.43,1.38,1.38,39872166.0,281763301.0,1.316,1.068,0.248,0.286,-0.076
3078,2003-02-14,1.37,1.4,1.38,1.36,15996484.0,110958109.0,1.326,1.091,0.235,0.276,-0.082
3077,2003-02-17,1.38,1.39,1.35,1.34,20410160.0,139692309.0,1.33,1.11,0.22,0.265,-0.09
3076,2003-02-18,1.36,1.38,1.37,1.35,11018398.0,75383480.0,1.336,1.129,0.207,0.253,-0.092
3075,2003-02-19,1.36,1.4,1.38,1.36,19591574.0,136072922.0,1.343,1.148,0.195,0.241,-0.092
3074,2003-02-20,1.38,1.4,1.37,1.36,13589081.0,94154324.0,1.347,1.164,0.183,0.229,-0.092
